date,keyword,level_last,mean_w,slope_w,z_last,lift_vs_mean_w,lift_vs_ref,momentum_1,momentum_7,coefvar_w,days_since_peak,peak,peak_gini,burstiness,trend_strength,seasonality_strength,lift_vs_cohort_med,corr_with_cohort_med,future_mean_7d,future_max_7d,future_sum_7d,growth_label_metric,target
2022-09-11,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2022-09-18,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2022-09-25,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2022-10-02,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2022-10-09,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2022-10-16,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2022-10-23,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2022-10-30,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2022-11-06,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,103.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2022-11-13,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2022-11-20,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2022-11-27,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2022-12-04,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2022-12-11,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,108.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2022-12-18,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,109.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2022-12-25,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2023-01-01,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2023-01-08,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2023-01-15,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,113.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2023-01-22,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,114.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2023-01-29,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,115.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2023-02-05,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,116.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2023-02-12,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,117.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2023-02-19,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,118.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2023-02-26,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2023-03-05,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2023-03-12,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2023-03-19,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,122.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2023-03-26,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,123.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2023-04-02,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,124.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2023-04-09,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2023-04-16,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,126.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2023-04-23,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,127.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2023-04-30,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2023-05-07,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2023-05-14,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,130.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2023-05-21,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,131.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2023-05-28,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,132.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2023-06-04,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,133.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2023-06-11,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2023-06-18,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,135.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2023-06-25,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,136.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2023-07-02,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,137.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2023-07-09,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,138.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2023-07-16,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,139.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2023-07-23,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2023-07-30,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,141.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2023-08-06,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,142.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2023-08-13,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,143.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2023-08-20,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,144.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2023-08-27,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,145.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2023-09-03,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,146.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2023-09-10,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,147.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2023-09-17,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,148.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2023-09-24,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,149.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2023-10-01,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
